Compound,Concentration,Hour,Species,Variant,Value
GW2580,20000,72,Human,hWT,2577.11243
GW2580,6666.67,72,Human,hWT,2435.936867
GW2580,2222.22,72,Human,hWT,2010.374671
GW2580,740.74,72,Human,hWT,1479.228479
GW2580,246.91,72,Human,hWT,1576.19762
GW2580,82.3,72,Human,hWT,1511.864763
GW2580,27.43,72,Human,hWT,1416.768762
GW2580,9.14,72,Human,hWT,1396.155342
GW2580,3.05,72,Human,hWT,1641.264067
GW2580,1.02,72,Human,hWT,1529.337361
GW2580,20000,72,Human,hWT,2240.890414
GW2580,6666.67,72,Human,hWT,2442.428394
GW2580,2222.22,72,Human,hWT,2077.496024
GW2580,740.74,72,Human,hWT,1363.276359
GW2580,246.91,72,Human,hWT,1409.182105
GW2580,82.3,72,Human,hWT,1519.872268
GW2580,27.43,72,Human,hWT,1401.643515
GW2580,9.14,72,Human,hWT,1481.142711
GW2580,3.05,72,Human,hWT,1580.201101
GW2580,1.02,72,Human,hWT,1399.655946
GW2580,20000,72,Human,hWT,2483.14875
GW2580,6666.67,72,Human,hWT,2390.819374
GW2580,2222.22,72,Human,hWT,1774.418756
GW2580,740.74,72,Human,hWT,1504.317748
GW2580,246.91,72,Human,hWT,1550.241287
GW2580,82.3,72,Human,hWT,1390.96166
GW2580,27.43,72,Human,hWT,1468.36662
GW2580,9.14,72,Human,hWT,1467.227099
GW2580,3.05,72,Human,hWT,1677.556685
GW2580,1.02,72,Human,hWT,1426.73216
BLZ945,20000,72,Human,hWT,309.978405
BLZ945,6666.67,72,Human,hWT,475.243996
BLZ945,2222.22,72,Human,hWT,930.720412
BLZ945,740.74,72,Human,hWT,1267.332048
BLZ945,246.91,72,Human,hWT,1251.283335
BLZ945,82.3,72,Human,hWT,1443.18153
BLZ945,27.43,72,Human,hWT,1419.810254
BLZ945,9.14,72,Human,hWT,1650.509676
BLZ945,3.05,72,Human,hWT,1518.470211
BLZ945,1.02,72,Human,hWT,1501.918738
BLZ945,20000,72,Human,hWT,293.064741
BLZ945,6666.67,72,Human,hWT,695.312396
BLZ945,2222.22,72,Human,hWT,1017.46044
BLZ945,740.74,72,Human,hWT,1188.503226
BLZ945,246.91,72,Human,hWT,1428.721436
BLZ945,82.3,72,Human,hWT,1351.288909
BLZ945,27.43,72,Human,hWT,1290.40819
BLZ945,9.14,72,Human,hWT,1429.914633
BLZ945,3.05,72,Human,hWT,1577.052579
BLZ945,1.02,72,Human,hWT,1270.938255
BLZ945,20000,72,Human,hWT,293.938773
BLZ945,6666.67,72,Human,hWT,443.93042
BLZ945,2222.22,72,Human,hWT,1055.388303
BLZ945,740.74,72,Human,hWT,1317.20865
BLZ945,246.91,72,Human,hWT,1295.974948
BLZ945,82.3,72,Human,hWT,1346.480898
BLZ945,27.43,72,Human,hWT,1339.701132
BLZ945,9.14,72,Human,hWT,1696.922857
BLZ945,3.05,72,Human,hWT,1634.348687
BLZ945,1.02,72,Human,hWT,1545.183873